"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date","name","email","phone.number","credit_card"
"City Hotel",0,101,2016,"July",32,31,2,1,3,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",140.7,0,0,"Check-Out","2016-08-03","Deborah Patel","Deborah.Patel25@protonmail.com","194-312-0623","************1755"
"City Hotel",1,16,2016,"December",49,3,0,1,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",159,0,4,"Canceled","2016-11-27","Richard Mason","Richard_Mason@yandex.com","781-756-0468","************1198"
"Resort Hotel",0,69,2015,"November",47,17,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",240,NA,0,"Transient",29.16,0,0,"Check-Out","2015-11-21","Lauren Smith","LSmith31@gmail.com","731-814-3280","************3077"
"Resort Hotel",0,14,2017,"March",11,16,0,1,3,1,0,"BB","FRA","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit",240,NA,0,"Transient",115,0,1,"Check-Out","2017-03-17","Linda Thomas","Thomas.Linda@zoho.com","718-197-2422","************5541"
"City Hotel",0,87,2016,"October",44,23,2,1,2,0,0,"HB","ESP","Offline TA/TO","TA/TO",0,0,0,"A","C",0,"No Deposit",42,NA,0,"Transient",106.25,0,1,"Check-Out","2016-10-26","Parker Williams","Parker.Williams@comcast.net","915-135-1719","************8135"
"City Hotel",1,309,2016,"May",20,13,1,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",3,NA,215,"Transient-Party",101,0,0,"Canceled","2016-02-09","Matthew Rose","Rose_Matthew@hotmail.com","745-826-4436","************5618"
"City Hotel",0,69,2017,"April",13,1,1,1,2,0,0,"SC","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",99,0,2,"Check-Out","2017-04-03","Ebony Houston","Ebony.H@protonmail.com","174-360-3670","************3368"
"City Hotel",0,31,2016,"November",49,27,2,0,3,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",154,0,1,"Check-Out","2016-11-29","Alexis Ballard","Alexis_B@yahoo.com","870-365-9192","************6921"
"City Hotel",0,160,2016,"May",22,27,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","E",15,"No Deposit",9,NA,0,"Transient-Party",128.35,0,1,"Check-Out","2016-05-29","Jennifer Miller","Jennifer.M@xfinity.com","966-485-7324","************9688"
"City Hotel",1,168,2017,"January",4,24,0,4,2,0,0,"BB","ROU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",85,0,1,"Canceled","2016-08-18","Mary Fischer","MFischer33@yahoo.com","355-707-4075","************4951"
"Resort Hotel",0,163,2015,"September",36,3,2,5,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",91.46,0,1,"Check-Out","2015-09-10","Natasha Smith","Natasha_Smith@att.com","616-635-9168","************3109"
"City Hotel",1,130,2016,"April",16,13,0,4,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund",29,NA,10,"Transient",100,0,0,"Canceled","2015-12-15","William Adams","William_A@protonmail.com","131-148-3740","************3459"
"Resort Hotel",0,12,2016,"June",24,5,2,4,3,0,0,"HB","ESP","Direct","Direct",0,0,0,"A","A",1,"No Deposit",250,NA,0,"Transient",202.67,1,0,"Check-Out","2016-06-11","Christopher Carter","Christopher_Carter62@verizon.com","571-815-2528","************6199"
"City Hotel",1,50,2016,"June",27,29,0,3,3,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",150.3,0,0,"Canceled","2016-06-19","Alexis Cook","Alexis.Cook@mail.com","541-836-8362","************4576"
"Resort Hotel",0,3,2016,"November",47,19,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","E",0,"No Deposit",330,NA,0,"Transient-Party",30,0,0,"Check-Out","2016-11-20","Lorraine Kelly","Lorraine.K@zoho.com","216-961-1618","************9840"
"City Hotel",1,437,2016,"May",19,2,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,0,"Transient",60,0,0,"Canceled","2016-03-14","Jennifer Jones","Jones_Jennifer@att.com","179-373-1197","************7201"
"City Hotel",1,272,2015,"July",29,16,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"No Deposit",1,NA,0,"Contract",62,0,0,"Canceled","2015-01-01","Tiffany Moody","Moody_Tiffany81@xfinity.com","208-140-6275","************7034"
"City Hotel",0,6,2015,"September",39,21,1,3,1,0,0,"BB","HUN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",10,NA,0,"Transient",114,0,1,"Check-Out","2015-09-25","Kenneth Owens","KOwens@aol.com","430-622-4061","************3455"
"Resort Hotel",0,138,2016,"January",1,2,2,1,2,0,0,"HB","ITA","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit",240,NA,0,"Transient",100.33,0,2,"Check-Out","2016-01-05","Chad Costa","Chad_C68@zoho.com","371-218-3525","************6753"
"City Hotel",1,68,2016,"September",38,16,0,1,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",125.1,0,0,"Canceled","2016-09-15","Michael Jensen","Michael.Jensen@comcast.net","111-823-0555","************8758"
"Resort Hotel",0,152,2017,"July",29,16,2,1,2,2,0,"BB","LUX","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit",240,NA,0,"Transient",214,1,2,"Check-Out","2017-07-19","Elizabeth Barnes","Elizabeth.Barnes31@aol.com","283-577-5933","************1906"
"City Hotel",1,186,2017,"May",22,30,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",19,NA,0,"Transient",130,0,0,"Canceled","2016-11-25","Alexa Foster","AlexaFoster@hotmail.com","398-256-4234","************1905"
"City Hotel",1,101,2016,"June",27,27,1,5,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",NA,NA,0,"Transient",140,0,0,"Canceled","2016-05-06","Christopher Faulkner","Christopher_F@yandex.com","152-176-8561","************8664"
"Resort Hotel",0,5,2016,"April",15,5,0,2,1,0,0,"BB","PRT","Corporate","Corporate",0,1,4,"A","D",0,"No Deposit",NA,94,0,"Transient",39,0,0,"Check-Out","2016-04-07","Carolyn Johnston","CarolynJohnston@aol.com","992-928-0550","************2345"
"City Hotel",1,359,2015,"October",42,11,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund",1,NA,0,"Transient",60,0,0,"Canceled","2015-01-30","Madison Richards","MRichards@mail.com","732-518-8186","************2922"
"City Hotel",0,4,2017,"March",11,17,0,2,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"D","D",0,"No Deposit",14,NA,0,"Transient",95,0,0,"Check-Out","2017-03-19","Lisa Hernandez","Hernandez.Lisa@att.com","392-372-2788","************8086"
"City Hotel",0,95,2016,"April",17,20,0,2,2,0,0,"HB","AUT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",35,NA,0,"Transient-Party",98,0,0,"Check-Out","2016-04-22","Richard Knox","Richard.K@yahoo.com","220-272-9979","************8799"
"City Hotel",0,43,2017,"January",1,7,2,2,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",68.07,0,0,"Check-Out","2017-01-11","Doris Franklin","Doris.F@yandex.com","204-664-3278","************2316"
"Resort Hotel",0,0,2016,"February",7,9,0,5,2,0,0,"BB","DEU","Direct","Direct",0,0,0,"A","A",3,"No Deposit",NA,NA,0,"Transient",50,0,0,"Check-Out","2016-02-14","Luis Glover","LuisGlover@comcast.net","215-355-1277","************3779"
"Resort Hotel",0,11,2017,"July",27,7,0,2,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit",40,NA,0,"Contract",92,0,0,"Check-Out","2017-07-09","Jacob Alvarez","JacobAlvarez@zoho.com","830-849-5249","************8267"
"City Hotel",1,101,2016,"April",15,4,1,2,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund",3,NA,41,"Transient",70,0,0,"Canceled","2016-02-04","Rick Jones","Jones_Rick@outlook.com","729-700-4512","************7557"
"City Hotel",0,4,2017,"February",7,13,1,0,1,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",52,NA,0,"Transient",75,0,0,"Check-Out","2017-02-14","Theresa Blevins","Theresa_Blevins@att.com","484-492-5242","************2373"
"City Hotel",0,60,2017,"May",20,20,2,1,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",171,1,2,"Check-Out","2017-05-23","Julie Booth","Julie_B@protonmail.com","242-268-1587","************1946"
"Resort Hotel",1,217,2016,"July",29,14,0,2,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit",240,NA,0,"Transient",150,0,1,"Canceled","2016-02-20","Jeffrey Washington","Jeffrey_W@outlook.com","713-256-0759","************3316"
"City Hotel",0,0,2015,"August",34,20,2,5,2,0,0,"BB","POL","Direct","Direct",0,0,0,"A","A",1,"No Deposit",NA,NA,0,"Transient",96,0,0,"Check-Out","2015-08-27","Penny Marshall","Penny.Marshall@gmail.com","412-538-4977","************3233"
"City Hotel",0,71,2017,"May",22,29,1,2,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",144,0,1,"Check-Out","2017-06-01","Melissa Brown","Brown_Melissa@mail.com","691-551-4780","************3877"
"Resort Hotel",0,4,2016,"February",6,6,0,1,2,0,0,"BB","NLD","Online TA","TA/TO",0,0,0,"D","E",0,"No Deposit",240,NA,0,"Transient",58,1,0,"Check-Out","2016-02-07","Christopher Alexander","Christopher_Alexander@yahoo.com","880-670-8983","************8389"
"Resort Hotel",0,21,2017,"May",22,28,2,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",142,0,3,"Check-Out","2017-05-31","Timothy Coleman","Timothy.C25@yahoo.com","339-013-5682","************4778"
"Resort Hotel",1,96,2016,"April",17,19,2,5,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"D","D",0,"Non Refund",273,NA,0,"Transient",50.85,0,0,"Canceled","2016-03-18","Devin Bowers","Bowers_Devin@protonmail.com","334-441-6404","************1436"
"Resort Hotel",0,0,2017,"May",18,2,0,1,1,0,0,"BB","ESP","Direct","Direct",0,0,0,"A","D",0,"No Deposit",NA,NA,0,"Transient",62,0,0,"Check-Out","2017-05-03","Justin Kirby","Justin.K@yandex.com","854-674-9338","************2320"
"City Hotel",1,134,2016,"August",35,23,0,4,3,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",133.2,0,0,"Canceled","2016-08-09","Robert Sullivan","Robert_Sullivan@yahoo.com","194-526-7291","************5187"
"City Hotel",0,13,2017,"May",21,23,0,2,3,0,0,"BB","MEX","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",209,0,1,"Check-Out","2017-05-25","Jennifer Mahoney","JenniferMahoney@hotmail.com","531-517-3891","************8878"
"City Hotel",1,103,2016,"April",17,19,0,2,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund",119,NA,0,"Transient",115,0,0,"Canceled","2016-02-25","Jason Hampton","Jason_Hampton@zoho.com","590-419-4380","************1738"
"City Hotel",1,18,2016,"December",53,30,0,2,2,2,0,"BB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NA,NA,0,"Transient",200,0,0,"Canceled","2016-12-14","Melinda Moore","Melinda.M16@yahoo.com","161-317-7689","************2475"
"City Hotel",1,97,2017,"May",18,5,0,2,3,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",171,0,0,"Canceled","2017-01-29","Todd Clark","TClark28@gmail.com","444-613-1774","************1680"
"City Hotel",1,109,2016,"February",9,21,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"Non Refund",19,NA,44,"Transient",75,0,0,"Canceled","2015-12-18","Richard Donovan","Donovan_Richard@mail.com","721-190-7297","************5289"
"City Hotel",0,55,2017,"June",23,5,1,3,2,0,0,"SC","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",140,0,1,"Check-Out","2017-06-09","Deanna Chandler","Chandler_Deanna@xfinity.com","899-697-1318","************5445"
"City Hotel",0,7,2015,"September",40,28,1,1,1,0,0,"BB","USA","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",1,NA,0,"Transient-Party",170,0,0,"Check-Out","2015-09-30","Aaron Watson","Aaron_Watson@protonmail.com","897-000-3783","************1842"
"City Hotel",0,159,2016,"October",43,16,2,2,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"A","A",0,"No Deposit",14,NA,0,"Transient",108,0,0,"Check-Out","2016-10-20","Jeffrey Ho","JeffreyHo@yandex.com","431-112-7182","************4945"
"City Hotel",0,15,2017,"June",25,21,0,1,1,0,0,"SC","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",128,0,1,"Check-Out","2017-06-22","Donald Saunders","Saunders.Donald@aol.com","412-957-1315","************5721"
"City Hotel",0,138,2017,"July",29,21,0,1,2,0,0,"SC","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",8,NA,0,"Transient",108,0,0,"Check-Out","2017-07-22","Jeffrey Smith","Jeffrey_S@gmail.com","290-316-7177","************9748"
"City Hotel",0,282,2015,"October",41,10,2,1,2,0,0,"BB","SWE","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit",21,NA,0,"Transient-Party",76.67,0,0,"Check-Out","2015-10-13","Tiffany Walton","Tiffany.W49@verizon.com","427-768-7465","************2003"
"Resort Hotel",1,29,2017,"August",34,26,2,4,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit",240,NA,0,"Transient",342.17,0,0,"Canceled","2017-08-02","Mary Anderson","MAnderson@yandex.com","488-109-9311","************3346"
"City Hotel",0,7,2017,"January",5,29,1,0,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",88,0,1,"Check-Out","2017-01-30","Michelle Buckley","Buckley.Michelle@gmail.com","845-588-7309","************8830"
"City Hotel",0,5,2016,"August",34,20,0,1,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",130,0,3,"Check-Out","2016-08-21","Randy Anthony","RandyAnthony@verizon.com","518-366-7795","************1457"
"Resort Hotel",0,1,2017,"January",4,24,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,2,"A","D",0,"No Deposit",240,NA,0,"Group",43,0,3,"Check-Out","2017-01-25","Laura Henderson","Henderson.Laura@yandex.com","872-145-0960","************2903"
"City Hotel",1,19,2017,"August",31,1,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit",14,NA,0,"Transient",140.8,0,0,"Canceled","2017-07-13","Bethany Lane","Lane_Bethany11@mail.com","610-613-1313","************7469"
"Resort Hotel",1,40,2016,"June",25,12,2,5,2,1,0,"BB","GBR","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit",240,NA,0,"Transient",194,0,0,"Canceled","2016-05-05","Anthony Smith","Anthony_Smith@outlook.com","182-662-0817","************3504"
"Resort Hotel",0,266,2015,"September",39,24,2,4,1,0,0,"BB","","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",201,NA,0,"Transient-Party",35.67,0,0,"Check-Out","2015-09-30","Anthony Moon","Anthony_Moon58@zoho.com","540-129-9738","************8055"
"City Hotel",1,108,2016,"March",12,18,0,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"Non Refund",154,NA,0,"Transient",80,0,0,"Canceled","2015-12-29","Regina Walsh","RWalsh@xfinity.com","404-456-1212","************9580"
"City Hotel",1,464,2016,"October",44,28,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,391,"Transient",65,0,0,"Canceled","2016-09-20","Michele Webb","Webb_Michele97@verizon.com","435-260-6103","************8242"
"Resort Hotel",0,58,2017,"January",4,26,0,3,2,0,0,"BB","TUR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",240,NA,0,"Transient",42,0,2,"Check-Out","2017-01-29","Alexander Shaw","Alexander_Shaw@yandex.com","198-955-4738","************1252"
"City Hotel",0,84,2016,"October",45,31,1,3,2,1,0,"HB","CHE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",149.18,0,1,"Check-Out","2016-11-04","Mary Martinez","Mary_Martinez82@hotmail.com","123-406-4303","************4115"
"City Hotel",0,76,2016,"May",21,17,0,3,1,0,0,"BB","NLD","Online TA","TA/TO",0,0,0,"A","G",0,"No Deposit",9,NA,0,"Transient",126.9,0,0,"Check-Out","2016-05-20","Jeremy Robinson","Jeremy.Robinson68@xfinity.com","209-027-6519","************4915"
"City Hotel",0,22,2015,"August",35,26,0,2,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit",40,NA,0,"Transient",65,0,0,"Check-Out","2015-08-28","Rita Zimmerman","RZimmerman@protonmail.com","383-864-2500","************9362"
"Resort Hotel",0,4,2015,"December",52,24,0,2,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","A",3,"No Deposit",240,NA,0,"Transient",55,0,1,"Check-Out","2015-12-26","Sherri Roberts","Sherri_R@zoho.com","216-386-3754","************4055"
"City Hotel",0,6,2015,"December",50,10,0,2,1,0,0,"HB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit",6,NA,0,"Transient-Party",0,0,0,"Check-Out","2015-12-12","Thomas Ruiz","Thomas_Ruiz@outlook.com","660-133-5524","************3526"
"Resort Hotel",1,135,2016,"May",22,27,0,2,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"D","D",0,"No Deposit",250,NA,0,"Transient",57.8,0,0,"Canceled","2016-04-13","Brian Floyd","Brian_F@yahoo.com","809-040-4387","************1611"
"Resort Hotel",0,0,2016,"July",30,17,1,0,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient",115,0,0,"Check-Out","2016-07-18","James Davis","JamesDavis@gmail.com","709-086-5547","************6905"
"Resort Hotel",1,176,2017,"July",29,20,0,2,3,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit",240,NA,0,"Transient",303,0,0,"Canceled","2017-01-25","Glenda Richardson","Glenda_Richardson41@outlook.com","539-385-7559","************3768"
"City Hotel",0,66,2017,"August",33,13,2,2,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",160,0,1,"Check-Out","2017-08-17","Cathy Wilson","Cathy_Wilson87@aol.com","803-131-3976","************2708"
"City Hotel",0,3,2015,"October",41,5,1,0,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",87.78,0,1,"Check-Out","2015-10-06","Christopher Simmons","Simmons_Christopher96@outlook.com","449-757-6064","************5865"
"City Hotel",1,41,2017,"February",8,20,1,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",NA,NA,9,"Transient",85,0,0,"Canceled","2017-01-19","Susan Richards","Richards_Susan@zoho.com","209-214-3089","************5340"
"City Hotel",1,22,2017,"January",1,3,0,2,2,0,0,"SC","KOR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",88,0,1,"Canceled","2016-12-13","Stephanie Fox","SFox@yandex.com","582-153-6222","************5891"
"City Hotel",1,64,2017,"February",6,10,2,3,2,0,0,"SC","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",74.8,0,0,"Canceled","2016-12-08","Briana Nolan","Briana.Nolan@att.com","141-711-0458","************8212"
"City Hotel",1,99,2016,"February",8,19,0,1,2,0,0,"BB","PRT","Corporate","TA/TO",0,0,0,"A","A",2,"No Deposit",NA,67,0,"Transient-Party",90,0,0,"No-Show","2016-02-19","Caleb Parsons","Caleb_Parsons@zoho.com","304-714-2238","************8950"
"City Hotel",0,123,2017,"June",26,28,0,4,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"A","A",0,"No Deposit",14,NA,0,"Transient",96.53,0,2,"Check-Out","2017-07-02","Terry Holloway","THolloway@hotmail.com","775-184-2992","************3230"
"City Hotel",1,226,2017,"July",28,9,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",NA,NA,0,"Transient",110,0,0,"Canceled","2016-11-25","Aaron Martinez","AaronMartinez@comcast.net","130-666-4477","************3674"
"Resort Hotel",0,1,2016,"October",42,12,0,1,2,0,0,"BB","ESP","Direct","Direct",0,0,0,"E","E",0,"No Deposit",NA,NA,0,"Transient",96,1,0,"Check-Out","2016-10-13","Sharon Shields","Sharon_S83@mail.com","519-749-7976","************6786"
"Resort Hotel",0,383,2016,"October",41,6,0,3,2,0,0,"BB","GBR","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",315,NA,0,"Transient-Party",48,0,0,"Check-Out","2016-10-09","Mark Brown","Mark.Brown@verizon.com","360-708-7431","************6616"
"City Hotel",0,8,2017,"July",30,27,2,5,3,0,0,"BB","ROU","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit",27,NA,0,"Transient",129,0,1,"Check-Out","2017-08-03","Maria Wood","Wood_Maria@xfinity.com","841-921-7753","************1043"
"Resort Hotel",0,137,2015,"September",37,7,3,7,2,0,0,"HB","GBR","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit",2,NA,0,"Transient",89.55,0,0,"Check-Out","2015-09-17","Anthony Hays","Anthony_H@protonmail.com","512-165-9955","************9037"
"Resort Hotel",0,13,2016,"June",26,20,1,0,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","C",0,"No Deposit",240,NA,0,"Transient-Party",99,0,1,"Check-Out","2016-06-21","Jill Mitchell","Mitchell_Jill@yandex.com","436-406-5231","************2859"
"Resort Hotel",0,17,2016,"October",44,27,0,3,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","E",0,"No Deposit",240,NA,0,"Transient",122.67,1,2,"Check-Out","2016-10-30","Clifford Robinson","Clifford_R36@protonmail.com","679-212-2555","************3290"
"City Hotel",0,26,2016,"October",43,16,2,4,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",139,0,1,"Check-Out","2016-10-22","Jennifer Hancock","Hancock_Jennifer@zoho.com","855-440-9867","************6976"
"Resort Hotel",0,1,2017,"June",24,16,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit",240,NA,0,"Transient",154,1,0,"Check-Out","2017-06-18","Leah Jackson","Leah_Jackson40@hotmail.com","738-709-7410","************2806"
